name,link,category,reviews amount,total score
Единый профиль клиента Mindbox,https://stepik.org/course/121906,Клиентский сервис,2,50.89897417339312
Практикум по Pandas,https://stepik.org/course/111629,Статистика и анализ данных,30,50.897350918283394
L'ITALIANO A1.1. ATTESTATO ADA.⭐️⭐️,https://stepik.org/course/188024,Итальянский язык,5,50.885704289236344
Медицинская грамотность,https://stepik.org/course/94338,Биология и медицина,23,50.821400055145396
Подготовка к ЕГЭ по обществознанию (интенсивный курс),https://stepik.org/course/736,Право,5,50.8132284179
Проектный менеджмент,https://stepik.org/course/90535,Выбирают компании,60,50.80122822632453
Применение технологии смешанного обучения на уроках информатики.,https://stepik.org/course/50621,Педагогика и образовательные технологии,2,50.77360605239366
Linux для Начинающих,https://stepik.org/course/80993,Операционные системы,4,50.769857294881774
English vocabulary (medium),https://stepik.org/course/6243,Повседневный английский,7,50.751317870919124
Разработка игр на Unity 3D,https://stepik.org/course/51211,3D и 2D моделирование,7,50.745643457195975
Python - знакомство с языком программирования.,https://stepik.org/course/134111,Разработка на Python,1,50.667725380072724
Таргет ВКонтакте!,https://stepik.org/course/139987,Реклама,4,50.601722686014895
Разработка дистанционных курсов,https://stepik.org/course/84613,Дистанционное обучение,5,50.572915051567655
3D-моделирование. Базовый уровень.,https://stepik.org/course/73166,3D и 2D моделирование,3,50.56798181724419
"Автоматизация Word, Excel, PowerPoint в Python",https://stepik.org/course/198576,Цифровая грамотность,2,50.545857410544635
Введение в tidyverse,https://stepik.org/course/201137,R,3,50.53140269114977
Введение в геномное редактирование,https://stepik.org/course/90400,Генетика,2,50.497022039928076
Rust - основы языка программирования,https://stepik.org/course/171372,Rust,10,50.488548974268724
TOEFL vocabulary,https://stepik.org/course/3150,Английский на Stepik,100,50.416581124574236
Swift Викторина для  IOS разработчика,https://stepik.org/course/172284,Swift,1,50.40990333866765
Соточка по информатике. Компьютерный формат ЕГЭ,https://stepik.org/course/118045,Большие курсы,3,50.37044387401244
Проектирование бизнес-процессов предприятия,https://stepik.org/course/176072,"Бизнес, менеджмент, право",8,50.34978810873347
Технология. OpenScad + Arduino,https://stepik.org/course/103362,Arduino,3,50.34404490500628
История и философия науки. Философия техники и технических наук,https://stepik.org/course/83650,Философия,10,50.294644390744516
Дашборды и отчеты с Google Data Studio / Looker. Экспресс курс,https://stepik.org/course/101319,Статистика и анализ данных,10,50.23386398198346
Программирование на Kotlin - игра Марио,https://stepik.org/course/127303,Разработка приложений,3,50.2300042103478
От конспекта до диплома: как писать учебные тексты,https://stepik.org/course/60831,Русский язык,50,50.20708315255138
Математический анализ для инженеров,https://stepik.org/course/108897,Математический анализ,9,50.203392870149464
Формирующая образовательная среда,https://stepik.org/course/177013,Педагогика и образовательные технологии,3,50.19271450301552
Профессиональный онлайн-курс 3D-печати,https://stepik.org/course/173281,3D и 2D моделирование,10,50.17467791303749
Налоги в РФ,https://stepik.org/course/134695,Курсы по 1С и бухгалтерскому учету,1,50.12433720745175
Аналитика и ASO мобильных приложений,https://stepik.org/course/101915,Статистика и анализ данных,1,50.11363694041792
Введение в Golang: Основы программирования на Go,https://stepik.org/course/200926,Go (Golang),18,50.09558051636552
Основы кройки и шитья,https://stepik.org/course/90859,Красота и стиль,4,50.09393006626437
Базовый курс по биологии,https://stepik.org/course/78909,Биология и медицина,10,50.072201110821744
Java AP Computer Science,https://stepik.org/course/146162,Java,3,50.07035620506043
Как нанять CRM-маркетолога,https://stepik.org/course/179448,Управление персоналом,9,50.039208911807606
Программирование на Go,https://stepik.org/course/51100,Программирование для начинающих,7,50.02194694067097
Spotlight 5,https://stepik.org/course/125719,Popular courses,4,50.006496348035704
Россия в глобальной политике,https://stepik.org/course/176262,Политология,30,50.003174522265006
Техническое собеседование для Системного аналитика,https://stepik.org/course/181434,Аналитика данных,5,49.98350698011942
Преподавание,https://stepik.org/course/94302,Создавайте онлайн-курсы,3,49.94882055709855
Надежность и безопасность технических систем и техногенный риск,https://stepik.org/course/124530,Машиностроение,8,49.9308050639132
Быстрый старт в искусственный интеллект,https://stepik.org/course/80782,Data Science и ML,40,49.928913798611376
Обучение за рубежом. Инструкция по поступлению,https://stepik.org/course/56884,Курсы для карьерного развития,9,49.92580241986496
"AutoCAD 2020, основы трёхмерного моделирования",https://stepik.org/course/71701,3D и 2D моделирование,3,49.920165991014024
Человек и его здоровье (Пантюхина Е.В.) ,https://stepik.org/course/67980,Здравоохранение,5,49.90891288065773
ChatGPT и GigaChat в Google Таблицах,https://stepik.org/course/205363,"Нейросети, чат-боты и искусственный интеллект",4,49.8974398557149
Аутотренинг и саморегуляция,https://stepik.org/course/57082,"Йога, осознанность и медитация",16,49.895836810959615
Golang бесплатный курс с нуля,https://stepik.org/course/179158,Go (Golang),16,49.856496603220265
Разработка и экспертиза адаптированных образовательных программ,https://stepik.org/course/83116,Разработка образовательных программ,2,49.851195485895786
SQL c нуля,https://stepik.org/course/214429,Пакеты курсов,2,49.84084247201786
Three.js,https://stepik.org/course/97227,JavaScript,2,49.822308988246434
Введение в базы данных,https://stepik.org/course/551,Информатика,808,49.81555582059333
