name,link,category,reviews amount,total score,important reviews amount,important reviews part,average stars count,detail score,deep score,material quality score,problems quality score,coach skills score,practice experience score,feedback score,positive score,negative score,positive reviews part,negative reviews part,important positive reviews part,important negative reviews part,reviews amount * total score
Инди-курс программирования на Python,https://stepik.org/course/63085,Python,2083,65.42672326990089,1118,0.5367258761401824,5.0,0.5345583023726735,0.4504064048882678,0.3040731849571628,0.23982128694971316,0.24505734169300913,0.3652841407655188,0.06377629778501187,0.8035758664454609,0.19677223721879034,0.8166106577052329,0.18338934229476717,0.8023255813953488,0.19767441860465115,136283.86457120356
Python: основы и применение,https://stepik.org/course/512,Информатика,2262,58.88666107204903,1243,0.5495137046861185,5.0,0.5473270361013745,0.4507844323938989,0.20856572358125122,0.30864750747250935,0.21102390419096512,0.32160835863754006,0.03938305802595682,0.7361912258115748,0.2641003162916717,0.7497789566755084,0.2502210433244916,0.6870474658085277,0.31295253419147223,133201.6273449749
"Вселенная тестирования, или Как стать тестировщиком",https://stepik.org/course/118842,Тестирование ПО,1943,62.72452377587802,988,0.5084920226453937,5.0,0.5095037927986032,0.49490135615541214,0.2367313134559797,0.06460189909940849,0.1376344731685933,0.40553504734046664,0.03510821849551493,0.8134452526231607,0.18722051148850719,0.8327328872876995,0.16726711271230058,0.8228744939271255,0.1771255060728745,121873.749696531
JavaScript для начинающих,https://stepik.org/course/2223,Информатика,2145,53.72999963857388,1188,0.5538461538461539,5.0,0.5520247995874845,0.48306301374109556,0.14121324079696382,0.17772146361836172,0.09072347376626407,0.37002728725181266,0.03128350685588346,0.6321785318020444,0.3681389095327906,0.6368298368298368,0.36317016317016315,0.5631313131313131,0.43686868686868685,115250.84922474097
Информационные технологии. Работа с электронными таблицами Excel,https://stepik.org/course/52483,Excel,1676,67.00032807674333,805,0.48031026252983294,5.0,0.48050196317128563,0.43177371889103855,0.28510754633323915,0.1137148162220511,0.18842925790834172,0.36973053378718335,0.051464737040876285,0.8552643454997347,0.1450943840350311,0.8788782816229117,0.12112171837708831,0.893167701863354,0.10683229813664596,112292.54985662182
Подготовка к ЕГЭ по русскому языку ,https://stepik.org/course/7798,Курсы для школьников,1530,66.71887697866504,595,0.3888888888888889,5.0,0.3911758211225532,0.3541611333504727,0.20367968393643274,0.07933610359238681,0.2371075650959599,0.373892285566256,0.035194012328655266,0.8075011449724472,0.1926953356539575,0.8124183006535948,0.18758169934640523,0.8605042016806723,0.13949579831932774,102079.8817773575
Автоматизация тестирования с помощью Selenium и Python,https://stepik.org/course/575,Информатика,1477,67.17744540477419,933,0.6316858496953284,5.0,0.629568580093132,0.5968112761981028,0.30354770387847446,0.2199001890716085,0.22411141344156768,0.5049441800656003,0.13268479863999602,0.8404275700678518,0.1599518950358941,0.8612051455653351,0.13879485443466485,0.842443729903537,0.15755627009646303,99221.08686285147
Личностное развитие,https://stepik.org/course/53429,Выбирают компании,1463,66.21466744201282,463,0.316473000683527,5.0,0.3201647394209433,0.3677069183910447,0.13453647556347245,0.03345293200337914,0.08090847202152103,0.2562456582045809,0.019898822831488493,0.8486015805423958,0.1517265628457072,0.8687628161312372,0.13123718386876282,0.9481641468682506,0.05183585313174946,96872.05846766476
"""Поколение Python"": курс для профессионалов",https://stepik.org/course/82541,Разработка на Python,1362,70.87295392177253,891,0.6541850220264317,5.0,0.6506323512109813,0.6424542569854329,0.3472938149551672,0.2865701845067004,0.30899023420372324,0.5063197305479316,0.15039746530394865,0.8562057244939464,0.14433423909286883,0.8715124816446402,0.12848751835535976,0.8810325476992144,0.11896745230078563,96528.9632414542
Государственная антикоррупционная политика,https://stepik.org/course/64633,Право,1495,63.9093112309022,699,0.46755852842809364,5.0,0.46815470705927675,0.39397174685307307,0.24234369635853859,0.05285480879250474,0.07449456674536567,0.31399611337328437,0.0257524018879201,0.8880604007312511,0.1121270017044301,0.9117056856187291,0.0882943143812709,0.9456366237482118,0.05436337625178827,95544.42029019879
Грамматика английского языка для начинающих,https://stepik.org/course/94175,Английский язык,1341,67.06783318482867,564,0.42058165548098436,5.0,0.420188668784314,0.3893042136625292,0.22451154846908225,0.09822802047765394,0.1521845896843047,0.33564043587811393,0.04517600638831527,0.8712720127561318,0.12907077211141446,0.8859060402684564,0.11409395973154363,0.9202127659574468,0.0797872340425532,89937.96430085525
Практическая педагогика,https://stepik.org/course/53266,Создавайте онлайн-курсы,1341,64.77958857274398,618,0.4608501118568233,5.0,0.4613762168958043,0.41714489013611183,0.209182914838308,0.08660437195847491,0.096698110429839,0.33485459728604383,0.02708946733985231,0.8784640135344585,0.12194565775693797,0.9038031319910514,0.09619686800894854,0.9142394822006472,0.08576051779935275,86869.42827604967
Цифровизация образовательного процесса в школах,https://stepik.org/course/74923,Создавайте онлайн-курсы,1350,64.32931628799562,429,0.31777777777777777,5.0,0.3236171081094438,0.3332377694409634,0.1686857576373263,0.022809112354289365,0.06995764394360002,0.23758418143665444,0.017348146255976138,0.8418493487510003,0.1591653210348967,0.9014814814814814,0.09851851851851852,0.9020979020979021,0.0979020979020979,86844.5769887941
Art of soft skills: гибкие навыки для жизни и учебы,https://stepik.org/course/95702,Прокачать навыки,1313,64.80325450817553,591,0.4501142421934501,5.0,0.449096152485936,0.37186203674608853,0.20896347901346776,0.025478067857538093,0.16256717783915836,0.37765532262096074,0.025359657416885784,0.8537914543985393,0.14670228772237756,0.8629093678598629,0.1370906321401371,0.8984771573604061,0.10152284263959391,85086.67316923446
